idX,centerX,YearX,prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,Kloc+,Effort-,Defects-,Months-
17,0,1984.0,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,2,0,1,0,1,31.5,60.0,986.0,17.6
18,0,1983.0,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,3,2,0,1,0,1,15.0,48.0,470.0,13.6
19,0,1984.0,1,0,0,0,2,2,1,0,0,0,1,3,1,0,1,0,0,2,0,1,0,1,32.5,60.0,1276.0,20.8
20,1,1985.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,19.7,60.0,614.0,13.9
21,1,1985.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,66.6,300.0,2077.0,21.0
22,1,1985.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,29.5,120.0,920.0,16.0
23,1,1986.0,1,0,0,0,2,0,2,2,0,0,0,1,2,1,0,0,0,2,2,1,0,1,15.0,90.0,575.0,15.2
24,1,1986.0,1,0,0,0,2,0,2,0,0,0,1,1,2,1,0,0,0,2,2,1,0,1,38.0,210.0,1553.0,21.3
25,1,1986.0,1,0,0,0,2,2,2,2,0,0,1,1,2,1,0,0,0,2,2,1,0,1,10.0,48.0,427.0,12.4
26,1,1982.0,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,15.4,70.0,765.0,14.5
27,1,1982.0,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,48.5,239.0,2409.0,21.4
28,1,1982.0,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,16.3,82.0,810.0,14.8
28,1,1982.0,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,12.8,62.0,636.0,13.6
29,1,1982.0,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,32.6,170.0,1619.0,18.7
30,1,1982.0,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,35.5,192.0,1763.0,19.3
31,1,1985.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,5.5,18.0,172.0,9.1
32,1,1987.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,10.4,50.0,324.0,11.2
33,1,1987.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,14.0,60.0,437.0,12.4
34,1,1986.0,1,0,0,0,2,0,2,0,0,0,1,1,2,1,1,0,2,2,2,1,0,1,6.5,42.0,290.0,12.0
35,1,1986.0,1,0,0,0,2,2,2,0,0,0,1,1,2,1,1,0,2,2,2,1,0,1,13.0,60.0,683.0,14.8
36,1,1986.0,1,0,0,0,0,2,2,0,0,0,1,1,2,1,0,0,2,2,0,0,0,1,90.0,444.0,3343.0,26.7
37,1,1986.0,1,0,0,0,2,2,2,0,0,0,1,1,2,1,1,0,2,2,2,1,0,1,8.0,42.0,420.0,12.5
38,1,1986.0,1,0,0,0,2,2,2,0,0,0,0,1,2,1,1,0,2,2,2,1,0,1,16.0,114.0,887.0,16.4
39,1,1980.0,1,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,1,0,1,0,0,177.9,1248.0,7998.0,31.5
40,4,1975.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,2,2,2,1,0,1,302.0,2400.0,8543.0,38.4
41,3,1982.0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,2,2,0,0,1,282.1,1368.0,9820.0,37.3
42,3,1982.0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,2,2,1,0,1,284.7,973.0,8518.0,38.1
43,3,1982.0,1,0,0,0,2,0,0,2,0,0,1,1,1,1,0,0,0,2,0,1,0,1,79.0,400.0,2327.0,26.9
44,3,1977.0,1,0,0,0,1,1,2,2,0,0,1,1,1,0,2,0,0,2,0,1,0,1,423.0,2400.0,18447.0,41.9
45,3,1977.0,1,0,0,0,0,2,2,2,0,0,1,1,1,0,2,0,3,1,0,1,0,1,190.0,420.0,5092.0,30.3
46,3,1984.0,1,0,0,0,0,2,2,0,0,0,1,0,2,0,1,0,0,2,0,1,0,1,47.5,252.0,2007.0,22.3
47,3,1980.0,1,0,0,0,1,3,2,4,0,0,0,0,1,1,1,0,0,2,2,0,0,1,21.0,107.0,1058.0,21.3
48,3,1983.0,1,0,0,0,1,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,1,78.0,571.4,4815.0,30.5
49,3,1984.0,1,0,0,0,1,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,1,11.4,98.8,704.0,15.5
50,3,1985.0,1,0,0,0,1,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,1,19.3,155.0,1191.0,18.6
51,3,1979.0,1,0,0,0,1,0,2,3,0,0,0,0,1,0,1,0,2,0,0,1,0,1,101.0,750.0,4840.0,32.4
52,3,1979.0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,2,2,1,0,1,219.0,2120.0,11761.0,42.8
53,3,1979.0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,2,2,1,0,1,50.0,370.0,2685.0,25.4
54,1,1979.0,1,0,0,0,0,3,0,0,0,0,2,2,2,2,2,0,3,2,0,0,0,0,227.0,1181.0,6293.0,33.8
55,1,1977.0,1,0,0,0,0,2,0,3,0,0,1,1,1,0,2,0,2,1,2,1,0,0,70.0,278.0,2950.0,20.2
56,1,1979.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,0.9,8.4,28.0,4.9
57,4,1974.0,1,0,0,0,1,3,1,4,0,0,3,2,1,0,0,0,3,3,0,1,0,1,980.0,4560.0,50961.0,96.4
58,4,1975.0,1,0,0,0,2,2,1,0,0,0,1,1,1,2,2,0,2,0,0,1,0,1,350.0,720.0,8547.0,35.7
59,3,1976.0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,1,0,2,0,0,0,0,1,70.0,458.0,2404.0,27.5
60,3,1979.0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,1,0,2,0,0,0,0,1,271.0,2460.0,9308.0,43.4
61,3,1971.0,1,0,0,0,2,2,2,2,0,0,1,1,1,0,0,0,0,2,0,1,0,1,90.0,162.0,2743.0,25.0
62,3,1980.0,1,0,0,0,2,2,2,2,0,0,1,1,1,0,0,0,0,2,0,1,0,1,40.0,150.0,1219.0,18.9
63,3,1979.0,1,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,137.0,636.0,4210.0,32.2
64,3,1977.0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,150.0,882.0,5848.0,36.2
65,3,1976.0,1,0,0,0,2,3,2,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,339.0,444.0,8477.0,45.9
66,3,1983.0,1,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,1,240.0,192.0,10313.0,37.1
67,3,1978.0,1,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,144.0,576.0,6129.0,28.8
68,3,1979.0,1,0,0,0,1,2,1,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,151.0,432.0,6136.0,26.2
69,3,1979.0,1,0,0,0,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,34.0,72.0,1555.0,16.2
70,3,1979.0,1,0,0,0,1,2,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,98.0,300.0,4907.0,24.4
71,3,1979.0,1,0,0,0,1,2,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,85.0,300.0,4256.0,23.2
72,3,1982.0,1,0,0,0,1,2,1,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,20.0,240.0,813.0,12.8
73,3,1978.0,1,0,0,0,1,2,1,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,111.0,600.0,4511.0,23.5
74,3,1978.0,1,0,0,0,1,0,3,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,162.0,756.0,7553.0,32.4
75,3,1978.0,1,0,0,0,1,0,0,3,0,0,1,2,1,0,0,0,0,0,0,1,0,0,352.0,1200.0,17597.0,42.9
76,3,1979.0,1,0,0,0,1,0,2,3,0,0,1,2,1,0,0,0,0,0,0,1,0,0,165.0,97.0,7867.0,31.5
77,3,1984.0,1,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,2,0,0,1,0,1,60.0,409.0,2004.0,24.9
78,3,1984.0,1,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,2,0,0,1,0,1,100.0,703.0,3340.0,29.6
79,1,1980.0,1,0,0,0,2,0,3,3,0,0,3,3,0,1,1,0,2,1,1,1,0,1,32.0,1350.0,2984.0,33.6
80,1,1980.0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,53.0,480.0,2227.0,28.8
81,2,1977.0,1,0,0,0,0,0,1,3,0,0,2,3,1,2,2,0,3,3,3,0,0,1,41.0,599.0,1594.0,23.0
82,2,1977.0,1,0,0,0,0,0,1,3,0,0,2,3,1,2,2,0,3,3,3,0,0,1,24.0,430.0,933.0,19.2
83,3,1977.0,1,0,0,0,0,3,0,3,0,0,3,3,2,0,0,0,0,0,0,1,0,1,165.0,4178.2,6266.0,47.3
84,3,1977.0,1,0,0,0,0,3,0,3,0,0,3,3,2,0,0,0,0,0,0,1,0,1,65.0,1772.5,2468.0,34.5
85,3,1977.0,1,0,0,0,0,3,0,3,0,0,3,3,2,0,0,0,0,0,0,1,0,1,70.0,1645.9,2658.0,35.4
86,3,1977.0,1,0,0,0,0,3,0,4,0,0,3,3,2,0,0,0,0,0,0,1,0,1,50.0,1924.5,2102.0,34.2
87,3,1982.0,1,0,0,0,1,3,1,3,0,0,2,3,1,0,1,0,1,3,1,0,0,1,7.25,648.0,406.0,15.6
88,3,1980.0,1,0,0,0,0,3,0,3,0,0,3,3,2,0,0,0,0,0,0,1,0,1,233.0,8211.0,8848.0,53.1
89,1,1983.0,1,0,0,0,2,0,2,3,0,0,2,2,0,1,1,0,2,1,1,1,0,1,16.3,480.0,1253.0,21.5
90,1,1983.0,1,0,0,0,2,0,2,3,0,0,2,2,0,1,1,0,2,1,1,1,0,1,6.2,12.0,477.0,15.4
91,1,1983.0,1,0,0,0,2,0,2,3,0,0,2,2,0,1,1,0,2,1,1,1,0,1,3.0,38.0,231.0,12.0
